SD-8-Bacteria-1	SD-4-Bacteria-1	HFD-7-Bacteria-1	HFD-3-Bacteria-1	HFD-4-Bacteria-1	HFD-1-Bacteria-1	HFD-5-Bacteria-1	HFD-9-Bacteria-1	SD-1-Bacteria-1	SD-6-Bacteria-1	HFD-8-Bacteria-1	SD-9-Bacteria-1	SD-7-Bacteria-1	HFD-2-Bacteria-1	HFD-6-Bacteria-1	SD-3-Bacteria-1	SD-5-Bacteria-1	SD-2-Bacteria-1
OTU_451	56	6	0	0	0	0	0	0	47	1	1	10	0	0	0	2	2	28
OTU_135	17	0	9	17	212	44	86	81	13	3	796	3	8	62	243	1	19	16
OTU_134	40	6	21	60	40	29	253	37	112	42	21	0	26	195	23	70	95	14
OTU_100	67	58	241	171	73	10	1404	61	76	428	64	174	298	300	494	433	55	425
OTU_254	21	0	30	25	10	2	65	0	1	18	7	12	33	45	57	7	9	23
OTU_313	41	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	18
OTU_239	21	53	2	3	4	1	0	0	13	3	0	23	2	5	0	29	0	9
OTU_157	110	1	0	2	0	1	0	0	54	211	0	269	4	8	0	1	97	34
OTU_182	49	28	24	20	9	2	52	6	34	140	35	61	68	17	93	241	1	59
OTU_32	74	47	194	20	7358	24	2257	29	232	122	188	10	70	54	78	2010	215	29
OTU_376	80	10	2	0	0	0	0	18	0	5	1	3	0	10	28	12	2	3
OTU_265	5	1	0	0	0	0	0	0	1	2	0	0	0	0	0	13	163	1
OTU_408	35	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	14
OTU_359	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_327	29	674	0	0	0	0	0	0	2	328	0	478	15	0	0	201	448	7
OTU_257	5	1	24	33	15	1	18	10	5	7	6	3	11	9	54	1	1	7
OTU_510	23	34	0	1	0	0	0	0	16	0	0	0	1	1	0	22	0	8
OTU_270	5	0	2	0	1	0	0	13	2	0	4	0	1	20	45	0	0	4
OTU_334	10	2	1	1	1	3	2	2	42	1	2	10	2	0	5	9	5	53
OTU_341	20	7	0	0	0	0	0	0	0	6	0	0	1	2	0	1	5	58
OTU_360	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_243	56	0	0	0	0	0	0	0	9	0	1	0	0	0	0	0	4	84
OTU_269	28	61	13	516	0	600	1	322	1	0	362	91	0	239	98	1	0	3
OTU_379	5	0	0	2	0	6	0	0	5	0	0	5	0	3	0	0	0	5
OTU_441	5	4	1	3	3	5	3	5	6	1	4	1	3	5	2	2	1	3
OTU_255	2	4	0	35	7	0	36	5	3	6	5	4	12	51	20	8	0	8
OTU_353	20	56	58	459	214	37	594	141	21	27	54	4	65	174	1721	426	27	75
OTU_185	21	0	0	0	240	0	37	6	7	2	10	0	0	6	6	0	0	38
OTU_307	26	2	0	0	0	0	0	0	5	0	0	0	0	0	0	25	0	22
OTU_350	3	0	0	6	0	4	0	2	2	1	6	0	0	9	25	0	0	2
OTU_217	14	0	2	1	2	0	13	1	0	21	7	3	3	72	15	1	1	32
OTU_214	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
OTU_108	16	6	1	1	0	1	1	1	171	5	0	81	904	0	0	17	220	31
OTU_216	7	1	0	0	0	0	0	0	46	0	0	4	0	0	0	150	1	15
OTU_99	45	429	0	1	0	0	0	0	1	63	0	159	404	0	0	418	453	3
OTU_249	21	5	0	2	3	0	7	1	5	33	0	0	10	40	15	8	0	13
OTU_362	3	0	1	0	5	0	8	2	0	4	2	0	5	1	7	2	3	1
OTU_486	2	3	0	0	0	0	0	0	1	0	0	22	0	0	0	2	0	0
OTU_460	3	0	0	1	1	0	4	9	4	2	1	5	17	0	3	8	2	15
OTU_155	18	2	0	0	2	0	1	0	1	49	0	33	94	0	0	17	1	412
OTU_205	37	4	7	4	35	6	30	0	15	9	0	5	6	17	0	1	39	22
OTU_210	4	3	0	40	1	4	0	0	3	13	0	31	182	13	0	12	2	41
OTU_244	3	7	8	0	2	0	39	1	14	62	1	8	27	0	3	23	0	73
OTU_9	17	8	9872	6561	17398	633	14024	10	7	310	9	6	87	3945	13	5	18	8
OTU_150	7	3	1	0	0	0	0	22	0	16	4	441	0	2	20	22	10	1
OTU_428	4	22	516	42	105	388	87	247	82	5	90	2	0	24	92	11	0	26
OTU_397	5	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0
OTU_222	14	35	0	0	0	0	0	0	35	6	0	49	0	0	0	76	0	23
OTU_312	5	0	3	3	3	0	14	0	0	7	0	0	20	8	0	0	2	1
OTU_317	8	0	47	0	5	0	5	0	0	5	0	0	0	0	0	0	0	1
OTU_477	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	14
OTU_443	15	0	0	0	0	0	0	0	0	2	0	0	0	0	0	13	0	0
OTU_456	26	10	112	46	58	7	215	155	19	28	108	14	146	298	777	155	12	91
OTU_145	15	81	2	384	29	7	1	0	3	19	0	68	0	15	0	0	81	2
OTU_247	21	0	0	0	0	0	0	19	111	3	9	2	0	0	3	0	0	19
OTU_226	8	12	4	189	6	16	9	4	3	1	2	1	1	6	4	11	0	1
OTU_503	6	0	2	0	5	0	7	0	0	1	0	5	1	0	0	0	0	1
OTU_287	4	1	4	0	2	0	7	0	0	2	3	2	12	2	7	19	1	6
OTU_399	12	0	0	3	4	0	18	0	0	5	0	0	3	0	2	0	1	0
OTU_325	11	3	1	0	2	0	10	0	4	4	0	11	37	41	1	57	7	7
OTU_142	11	9	355	95	29	20	174	34	11	28	73	14	33	201	348	39	4	24
OTU_184	29	26	0	0	0	0	0	1	2	2	0	0	2	0	0	188	2	0
OTU_285	15	0	0	0	0	0	3	2	3	25	0	0	39	0	2	9	3	15
OTU_229	7	5	0	4	54	0	16	1	12	3	4	9	4	7	1	21	4	3
OTU_96	14	29	6	216	65	20	414	195	46	30	213	18	98	276	1761	76	7	451
OTU_215	3	7	0	0	0	0	1	0	0	188	0	8	16	8	0	30	11	3
OTU_286	1	2	0	3	4	0	14	6	10	23	1	0	48	1	4	2	3	12
OTU_280	7	8	15	0	4	0	9	15	0	1	10	0	0	0	37	16	0	15
OTU_120	3	0	27	0	21	4	298	0	29	1346	2	1	23	76	9	1	74	541
OTU_377	8	5	1	0	0	0	0	0	6	0	0	7	12	1	0	19	2	13
OTU_7	8	2	7	7303	4	15509	4	5453	3	2	31022	3	8	9956	6772	4	3	2
OTU_502	1	0	0	0	0	0	0	7	0	0	1	0	0	1	8	0	0	0
OTU_345	21	0	0	0	0	0	0	0	0	3	0	29	0	0	0	1	0	0
OTU_419	1	0	0	0	0	0	0	10	0	0	9	0	0	0	17	0	0	0
OTU_8	8	0	3	6	12	8	37	6	5	10	15	1	100775	31	33	5	9694	3
OTU_282	6	5	0	2	0	0	0	0	7	4	0	0	2	33	0	27	14	8
OTU_398	8	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	2	5
